scene,method,delta_psnr,delta_ssim,delta_lpips,delta_gs_num,qcgi
bicycle,phase0,0.0,0.0,0.0,0.0,0.0
bicycle,depth_auto_topk,-0.0027904510498046875,0.00014007091522216797,-0.00032044947147369385,5795.0,-0.0041817853879928596
bicycle,residual_orientation,-0.008436203002929688,8.958578109741211e-05,-0.00025354325771331787,-2640.0,-0.005376771092414856
bicycle,dino_i050_full,0.05776786804199219,0.005586147308349609,-0.00885656476020813,49857.0,0.16391663801002504
bicycle,dino_i050_until8000,0.019495010375976562,0.0027399063110351562,-0.003996372222900391,21197.0,0.07307799771118165
bicycle,dino_i050_until4000,0.0033855438232421875,0.000986337661743164,-0.0012804418802261353,3019.0,0.026495506459236144
flowers,phase0,0.0,0.0,0.0,0.0,0.0
flowers,depth_auto_topk,0.026201248168945312,0.0006447434425354004,0.0033264756202697754,465.0,0.021998738918304443
flowers,residual_orientation,-0.0005970001220703125,-7.766485214233398e-05,0.0013443827629089355,2989.0,-0.01186121097946167
flowers,dino_i050_full,-0.00589752197265625,-0.0004487037658691406,0.0014102756977081299,-42896.0,-0.021922975778579712
flowers,dino_i050_until8000,0.041385650634765625,0.0010445117950439453,0.0011609792709350586,-7395.0,0.05647099018096924
flowers,dino_i050_until4000,-0.04343414306640625,-0.0009263753890991211,-0.0009211599826812744,20485.0,-0.0778408509349823
garden,phase0,0.0,0.0,0.0,0.0,0.0
garden,depth_auto_topk,0.01811981201171875,8.052587509155273e-05,0.0002483353018760681,-9524.0,0.018488653004169464
garden,residual_orientation,0.01857757568359375,0.00020688772201538086,-1.54152512550354e-05,-9207.0,0.022792406380176544
garden,dino_i050_full,-0.14002609252929688,-0.0017563104629516602,0.00133514404296875,-69861.0,-0.18182802200317383
garden,dino_i050_until8000,-0.062496185302734375,0.00033730268478393555,-7.089972496032715e-05,-44018.0,-0.05539563298225403
garden,dino_i050_until4000,0.015176773071289062,0.0002452731132507324,-3.816187381744385e-05,-30232.0,0.02027304470539093
stump,phase0,0.0,0.0,0.0,0.0,0.0
stump,depth_auto_topk,-0.03466224670410156,-0.0014764070510864258,0.0006380677223205566,-3019.0,-0.06738072633743286
stump,residual_orientation,-0.03763580322265625,-0.0010808110237121582,0.0012724697589874268,-9189.0,-0.06561437249183655
stump,dino_i050_full,0.0065555572509765625,0.0029543042182922363,-0.007864445447921753,124657.0,-0.09366413114356997
stump,dino_i050_until8000,0.027753829956054688,0.0022251009941101074,-0.005804106593132019,76991.0,0.024285382803916927
stump,dino_i050_until4000,0.006999969482421875,0.0003159642219543457,-0.0004417151212692261,5625.0,0.00990282952785492
treehill,phase0,0.0,0.0,0.0,0.0,0.0
treehill,depth_auto_topk,-0.0086822509765625,6.794929504394531e-05,0.0004565715789794922,5519.0,-0.015125122970581054
treehill,residual_orientation,0.04095268249511719,-2.9742717742919922e-05,-0.00013849139213562012,467.0,0.04058328510093689
treehill,dino_i050_full,-0.01847076416015625,-0.0007461309432983398,0.0003014504909515381,-66563.0,-0.03490063548088074
treehill,dino_i050_until8000,0.002002716064453125,-0.0011549592018127441,0.00426173210144043,-33555.0,-0.042405128479003906
treehill,dino_i050_until4000,0.010244369506835938,-0.0009688735008239746,0.002278834581375122,-5499.0,-0.020527273416519165
room,phase0,0.0,0.0,0.0,0.0,0.0
room,depth_auto_topk,-0.06909942626953125,-0.0003708004951477051,0.0010325908660888672,179.0,-0.08185739050292969
room,residual_orientation,0.02455902099609375,0.00011718273162841797,0.00020173192024230957,-2722.0,0.02589401602745056
room,dino_i050_full,-0.038196563720703125,0.0017697811126708984,-0.005814194679260254,43897.0,-0.017626968070983892
room,dino_i050_until8000,-0.04628753662109375,0.0012283921241760254,-0.004049777984619141,27276.0,-0.028746804214477537
room,dino_i050_until4000,-0.053157806396484375,0.0007028579711914062,-0.0028883516788482666,12684.0,-0.03734288857841492
counter,phase0,0.0,0.0,0.0,0.0,0.0
counter,depth_auto_topk,0.06933403015136719,0.00021666288375854492,-0.00012312829494476318,354.0,0.07392892930126191
counter,residual_orientation,0.06800460815429688,0.00012642145156860352,-0.00021050870418548584,957.0,0.07062858070659637
counter,dino_i050_full,0.076934814453125,0.0016431808471679688,-0.00430026650428772,80609.0,0.050690763917922974
counter,dino_i050_until8000,0.05221366882324219,0.000993192195892334,-0.003035321831703186,43507.0,0.0437471218996048
counter,dino_i050_until4000,0.041164398193359375,0.0003593564033508301,-0.0012962669134140015,18529.0,0.03630386082744598
kitchen,phase0,0.0,0.0,0.0,0.0,0.0
kitchen,depth_auto_topk,0.15990447998046875,0.0005849599838256836,-0.0008847489953041077,2410.0,0.17361742463350296
kitchen,residual_orientation,0.026004791259765625,0.00016456842422485352,-0.0005789697170257568,909.0,0.03128200832939148
kitchen,dino_i050_full,0.14359283447265625,0.0005809664726257324,-0.0014957115054130554,112854.0,0.01127472145223618
kitchen,dino_i050_until8000,0.14965438842773438,0.0005393028259277344,-0.0014534443616867065,63026.0,0.1046816667547226
kitchen,dino_i050_until4000,0.09754562377929688,-2.4497509002685547e-05,-0.000832870602607727,10313.0,0.0909070266122818
bonsai,phase0,0.0,0.0,0.0,0.0,0.0
bonsai,depth_auto_topk,-0.038715362548828125,-0.0010634660720825195,6.793439388275146e-05,583.0,-0.06090735595989227
bonsai,residual_orientation,-0.0670166015625,-0.00040918588638305664,9.353458881378174e-05,3580.0,-0.07924799223423004
bonsai,dino_i050_full,-0.10665130615234375,-3.1828880310058594e-05,-0.003723710775375366,250102.0,-0.789077329881668
bonsai,dino_i050_until8000,-0.0430450439453125,0.0005905628204345703,-0.002940535545349121,153321.0,-0.3298151098098755
bonsai,dino_i050_until4000,-0.11243820190429688,-0.0002490878105163574,-0.0017812103033065796,73004.0,-0.18151790659809114
