policy,avg_delta_psnr,avg_delta_ssim,avg_delta_lpips,avg_delta_gs_num,avg_qcgi,selected_methods
fixed_phase0,0.0,0.0,0.0,0.0,0.0,phase0 phase0 phase0 phase0 phase0 phase0 phase0 phase0 phase0
fixed_depth_auto_topk,0.013289981418185763,-0.0001306401358710395,0.0004935165246327718,306.8888888888889,0.006509040522045561,depth_auto_topk depth_auto_topk depth_auto_topk depth_auto_topk depth_auto_topk depth_auto_topk depth_auto_topk depth_auto_topk depth_auto_topk
fixed_residual_orientation,0.0071570078531901045,-9.919537438286675e-05,0.0001905767454041375,-1650.6666666666667,0.0032311055274009703,residual_orientation residual_orientation residual_orientation residual_orientation residual_orientation residual_orientation residual_orientation residual_orientation residual_orientation
fixed_dino_i050_full,-0.0027101304796006945,0.0010612673229641384,-0.003223113715648651,53628.444444444445,-0.10145977099763022,dino_i050_full dino_i050_full dino_i050_full dino_i050_full dino_i050_full dino_i050_full dino_i050_full dino_i050_full dino_i050_full
fixed_dino_i050_until8000,0.015630722045898438,0.0009492569499545627,-0.0017697496546639337,33372.22222222222,-0.017122168459468415,dino_i050_until8000 dino_i050_until8000 dino_i050_until8000 dino_i050_until8000 dino_i050_until8000 dino_i050_until8000 dino_i050_until8000 dino_i050_until8000 dino_i050_until8000
fixed_dino_i050_until4000,-0.0038348303900824655,4.8995018005371094e-05,-0.0008001493083106147,11992.0,-0.014816294599533085,dino_i050_until4000 dino_i050_until4000 dino_i050_until4000 dino_i050_until4000 dino_i050_until4000 dino_i050_until4000 dino_i050_until4000 dino_i050_until4000 dino_i050_until4000
oracle_best_qcgi_per_scene,0.0489150153266059,0.0011057456334431965,-0.001606638232866923,12306.111111111111,0.06460989693758223,dino_i050_full dino_i050_until8000 residual_orientation dino_i050_until8000 residual_orientation residual_orientation depth_auto_topk depth_auto_topk phase0
in_sample_phase0_curve_stump:i4000_to_i8000_ssim_gain <= 0.0594741 ? residual_orientation : dino_i050_until8000,0.035929573906792536,0.0007289316919114855,-0.001129121416144901,16321.555555555555,0.037685148159080084,dino_i050_until8000 dino_i050_until8000 residual_orientation dino_i050_until8000 residual_orientation residual_orientation residual_orientation dino_i050_until8000 residual_orientation
loocv_phase0_curve_stump,0.021195305718315974,0.0005496872795952691,-0.0005478900339868334,12863.666666666666,0.016491834813488856,dino_i050_until8000 dino_i050_until8000 residual_orientation dino_i050_until8000 dino_i050_until8000 depth_auto_topk residual_orientation dino_i050_until8000 residual_orientation
loocv_nearest_neighbor_oracle_method,-0.0070836808946397566,-6.024042765299479e-05,0.00037908471292919584,-1910.6666666666667,-0.013395246345678964,dino_i050_until8000 residual_orientation depth_auto_topk depth_auto_topk dino_i050_until8000 depth_auto_topk residual_orientation phase0 residual_orientation
